Lake,Depth,Layer,Date,chl,DOC, TP ,NO3, NH4 ,epi,PAR,secchi,ice,iceout,a254,a380,SR,SUVA254,Alk,SRP,Si,TN
SS904,,mixed,2010-07-24 00:00:00,NA,NA,29,NA,NA,NA,NA,NA,late-summer,147,NA,NA,NA,NA,NA,NA,NA,NA
SS905,,mixed,2010-07-24 00:00:00,NA,NA,15,NA,NA,NA,NA,NA,late-summer,147,NA,NA,NA,NA,NA,NA,NA,NA
SS901,,mixed,2010-07-26 00:00:00,NA,NA,16,NA,NA,NA,NA,NA,late-summer,147,NA,NA,NA,NA,NA,NA,NA,NA
SS902,,mixed,2010-07-26 00:00:00,NA,NA,0,NA,NA,NA,NA,NA,late-summer,147,NA,NA,NA,NA,NA,NA,NA,NA
SS906,,mixed,2010-07-27 00:00:00,NA,NA,5,NA,NA,NA,NA,NA,late-summer,147,NA,NA,NA,NA,NA,NA,NA,NA
SS903,,mixed,2010-07-28 00:00:00,NA,NA,0,NA,NA,NA,NA,NA,late-summer,147,NA,NA,NA,NA,NA,NA,NA,NA
SS1333,,mixed,2010-08-03 00:00:00,NA,NA,4,NA,NA,NA,NA,NA,late-summer,142,NA,NA,NA,NA,NA,NA,NA,NA
SS1341,,mixed,2010-08-03 00:00:00,NA,NA,17,NA,NA,NA,NA,NA,late-summer,142,NA,NA,NA,NA,NA,NA,NA,NA
SS1381,,mixed,2010-08-03 00:00:00,NA,NA,5,NA,NA,NA,NA,NA,late-summer,142,NA,NA,NA,NA,NA,NA,NA,NA
SS85,,mixed,2010-08-03 00:00:00,NA,NA,0,NA,NA,NA,NA,NA,late-summer,142,NA,NA,NA,NA,NA,NA,NA,NA
SS2,,mixed,2010-08-08 00:00:00,NA,NA,10,NA,NA,NA,NA,NA,late-summer,142,NA,NA,NA,NA,NA,NA,NA,NA
SS8,,mixed,2010-08-10 00:00:00,NA,NA,0,NA,NA,NA,NA,NA,late-summer,142,NA,NA,NA,NA,NA,NA,NA,NA
SS3,,mixed,2010-08-11 00:00:00,NA,NA,0,NA,NA,NA,NA,NA,late-summer,142,NA,NA,NA,NA,NA,NA,NA,NA
SS4,,epi,2010-08-11 00:00:00,NA,NA,13,NA,NA,NA,NA,NA,late-summer,142,NA,NA,NA,NA,NA,NA,NA,NA
SS4,14,hypo,2010-08-11 00:00:00,NA,NA,51,NA,NA,NA,NA,NA,late-summer,142,NA,NA,NA,NA,NA,NA,NA,NA
SS1590,,epi,2010-08-12 00:00:00,NA,NA,3,NA,NA,NA,NA,NA,late-summer,142,NA,NA,NA,NA,NA,NA,NA,NA
SS2,,epi,2011-04-30 00:00:00,NA,NA,13,NA,NA,NA,NA,NA,under-ice,165,NA,NA,NA,NA,NA,NA,NA,NA
SS2,,hypo,2011-04-30 00:00:00,NA,NA,12,NA,NA,NA,NA,NA,under-ice,165,NA,NA,NA,NA,NA,NA,NA,NA
SS2,,epi,2011-04-30 00:00:00,NA,NA,13,NA,NA,NA,NA,NA,under-ice,170,NA,NA,NA,NA,NA,NA,NA,NA
SS8,,epi,2011-05-01 00:00:00,NA,NA,17,NA,NA,NA,NA,NA,under-ice,165,NA,NA,NA,NA,NA,NA,NA,NA
SS8,,hypo,2011-05-01 00:00:00,NA,NA,58,NA,NA,NA,NA,NA,under-ice,165,NA,NA,NA,NA,NA,NA,NA,NA
SS85,,mixed,2011-05-01 00:00:00,NA,NA,16,NA,NA,NA,NA,NA,under-ice,165,NA,NA,NA,NA,NA,NA,NA,NA
SS902,,epi,2011-05-02 00:00:00,NA,NA,10,NA,NA,NA,NA,NA,under-ice,170,NA,NA,NA,NA,NA,NA,NA,NA
SS903,,epi,2011-05-02 00:00:00,NA,NA,10,NA,NA,NA,NA,NA,under-ice,170,NA,NA,NA,NA,NA,NA,NA,NA
SS903,,hypo,2011-05-02 00:00:00,NA,NA,8,NA,NA,NA,NA,NA,under-ice,170,NA,NA,NA,NA,NA,NA,NA,NA
SS2N2,,epi,2011-05-04 00:00:00,NA,NA,12,NA,NA,NA,NA,NA,under-ice,165,NA,NA,NA,NA,NA,NA,NA,NA
SS2N2,,hypo,2011-05-04 00:00:00,NA,NA,18,NA,NA,NA,NA,NA,under-ice,165,NA,NA,NA,NA,NA,NA,NA,NA
