lake,lower,upper,volume,area
SS1,0,1,345798,391796
SS1,1,2,260161,299618
SS1,2,3,175507,219059
SS1,3,4,68554,123973
SS1,4,5,9234,26494
SS1,5,6,111,1059
SS2,0,1,382100,411460
SS2,1,2,333326,355075
SS2,2,3,294667,312290
SS2,3,4,264285,278138
SS2,4,5,240165,251324
SS2,5,6,218270,228828
SS2,6,7,196404,207322
SS2,7,8,173606,185078
SS2,8,9,148869,161144
SS2,9,10,121177,135337
SS2,10,11,81652,104208
SS2,11,12,34810,60402
SS2,12,13,45,1022
SS8,0,1,147607,159353
SS8,1,2,123958,135697
SS8,2,3,93328,111734
SS8,3,4,67755,75365
SS8,4,5,56044,61454
SS8,5,6,46397,50929
SS8,6,7,37692,42024
SS8,7,8,28517,33319
SS8,8,9,18033,23211
SS8,9,10,8569,11813
SS8,10,11,2694,5964
SS10,0,1,318220,335120
SS10,1,2,285416,300668
SS10,2,3,256533,270072
SS10,3,4,231883,243113
SS10,4,5,212141,221415
SS10,5,6,193180,202802
SS10,6,7,175873,183829
SS10,7,8,162841,168616
SS10,8,9,152134,157175
SS10,9,10,142210,147008
SS10,10,11,132488,137243
SS10,11,12,122880,127547
SS10,12,13,113410,118036
SS10,13,14,104104,108626
SS10,14,15,95188,99523
SS10,15,16,86491,90581
SS10,16,17,78588,82373
SS10,17,18,70963,74695
SS10,18,19,63805,67166
SS10,19,20,57062,60396
SS10,20,21,52065,54193
SS10,21,22,47751,49872
SS10,22,23,43416,45548
SS10,23,24,39035,41195
SS10,24,25,34460,36749
SS10,25,26,29356,32006
SS10,26,27,23746,26585
SS10,27,28,16539,20385
SS10,28,29,7627,12011
SS10,29,30,492,3609
SS12,0,1,236433,250487
SS12,1,2,212457,222978
SS12,2,3,193043,202020
SS12,3,4,178688,185147
SS12,4,5,166199,172162
SS12,5,6,154614,160140
SS12,6,7,143675,148959
SS12,7,8,133166,138222
SS12,8,9,123045,128028
SS12,9,10,112450,117729
SS12,10,11,102041,106980
SS12,11,12,92336,96956
SS12,12,13,82004,87388
SS12,13,14,70203,76488
SS12,14,15,55668,62603
SS12,15,16,42783,49371
SS12,16,17,31242,35968
SS12,17,18,21385,26485
SS12,18,19,12092,16329
SS12,19,20,4500,7961
SS12,20,21,193,1278
SS15,0,1,347519,390231
SS15,1,2,282356,308052
SS15,2,3,253714,265604
SS15,3,4,231630,242402
SS15,4,5,210816,221154
SS15,5,6,190005,200735
SS15,6,7,169501,177758
SS15,7,8,156076,162540
SS15,8,9,143687,149782
SS15,9,10,131770,137679
SS15,10,11,120022,125852
SS15,11,12,108519,114263
SS15,12,13,96809,102669
SS15,13,14,85656,91039
SS15,14,15,75638,80429
SS15,15,16,67173,71164
SS15,16,17,59886,63363
