taxon,pl,pl2,L,W,T,biovol,size_class,shape,mobile,teratology,pioneer,adte,pedunc,pad,stalk,colonial,nonColonial,mucous,filament,zigzag,rosette,ribbon,stellate,arbuscular,high_profile,low_profile,motile
Achnanthes altaica,0,0,6,4,2,48,1,ellcyl,1,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0
Achnanthes austriaca,0,0,15,3.5,1.447619048,76,1,Omnidia,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0
Achnanthes biasolettiana,0,0,20.5,4.5,1.246612466,115,2,Omnidia,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0
Achnanthes calar,0,0,15,3.5,1.447619048,76,1,Omnidia,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0
Achnanthes calcar,0,0,15,3.5,1.447619048,76,1,Omnidia,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0
Achnanthes chlidanos,0,0,13.5,5.5,1.831649832,136,2,Omnidia,1,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0
Achnanthes clevei,0,0,20,7.5,3.233333333,485,3,Omnidia,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0
Achnanthes conspicua,0,0,11.5,5,2.260869565,130,2,Omnidia,1,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0
Achnanthes curtissima/microscopica,0,0,6.5,3.5,1,27,1,Omnidia,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0
Achnanthes daui,0,0,9.5,5,1.5,101,2,Omnidia,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
Achnanthes delicatula,0,0,13.5,6,2.716049383,220,2,Omnidia,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
Achnanthes delicatula ssp. hauckiana,0,0,13.5,6,2.716049383,220,2,Omnidia,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
Achnanthes delicatula var. delicatula,0,0,13.5,6,2.716049383,220,2,Omnidia,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
Achnanthes delicatula ssp. hauckiana,0,0,13.5,6,2.716049383,220,2,Omnidia,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
Achnanthes depressa,0,0,15,3.5,1.447619048,76,1,Omnidia,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0
Achnanthes didyma,0,0,15,3.5,1.447619048,76,1,Omnidia,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0
Achnanthes flexella,0,0,48,16.5,7.641414141,6052,5,omnidia,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0
Achnanthes flexella,0,0,48,16.5,7.641414141,6052,5,omnidia,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0
Achnanthes gracillima,0,0,26,3.95,1.2,97,1,ellcyl,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0
Achnanthes grishuna (Total),0,0,15,3.5,1.447619048,76,1,Omnidia,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0
Achnanthes helvetica,0,0,17.5,7,2.579591837,316,3,Omnidia,1,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0
Achnanthes holsatica,0,0,8,5,1.5,60,1,ellcyl,1,1,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0
Achnanthes holsatica,0,0,8,5,1.5,60,1,ellcyl,1,1,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0
Achnanthes holstii,0,0,23,7.5,2.753623188,475,3,Biovolume Omnidia PTLA,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
Achnanthes impexa,0,0,15,3.5,1.447619048,76,1,Omnidia,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0
Achnanthes impexiformis,0,0,15,3.5,1.447619048,76,1,Omnidia,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0
Achnanthes impexiformis,0,0,15,3.5,1.447619048,76,1,Omnidia,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0
Achnanthes ingratiformis,0,0,15,3.5,1.447619048,76,1,Omnidia,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0
Achnanthes kriegeri,0,0,15,3.5,1.447619048,76,1,Omnidia,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0
Achnanthes kuelbsii,0,0,8.75,3.25,2,44.646875,1,ellcyl,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
Achnanthes lacus-vulcani,0,0,15,3.5,1.447619048,76,1,Omnidia,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0
Achnanthes laevis,0,0,17.5,7,3.2,392,3,Omnidia,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0
Achnanthes laevis var quadratarea,0,0,17.5,7,3.2,392,3,Omnidia,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0
Achnanthes lanceolata,0,0,23,7.5,2.753623188,475,3,Omnidia,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
Achnanthes lanceolata var. dubia,0,0,23,7.5,2.753623188,475,3,Omnidia,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
Achnanthes lapidosa,0,0,15,3.5,1.447619048,76,1,Omnidia,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0
Achnanthes laterostrata,0,0,23,8,3.141304348,578,3,ellcyl,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0
Achnanthes levanderi,0,0,15,3.5,1.447619048,76,1,Omnidia,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0
Achnanthes marginulata,0,0,13.5,5.5,1.831649832,136,2,Omnidia,1,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0
Achnanthes minutissima,0,0,15,3.5,1.447619048,76,1,Omnidia,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0
Achnanthes minutissima v inconspicua,0,0,4,2.5,0.8,8,1,Omnidia,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0
Achnanthes minutissima var. affinis,0,0,15,3.5,1.447619048,76,1,Omnidia,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0
Achnanthes nitidiformis,0,0,15,3.5,1.447619048,76,1,Omnidia,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0
Achnanthes nodosa,0,0,15,3.5,1.447619048,76,1,Omnidia,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0
Achnanthes oestrupii,0,0,24,9.5,4.298245614,980,4,Omnidia,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
Achnanthes petersenii,0,0,26,4.5,1.769230769,207,2,Omnidia,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0
Achnanthes pusilla,0,0,13.5,4.5,2,95.3775,1,ellcyl,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0
Achnanthes rossii,0,0,15,5.5,1.5,97.14375,1,ellcyl,1,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0
Achnanthes rostenstockii,0,0,13,4,1.384615385,72,1,Omnidia,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0
Achnanthes saccula,0,0,9,4.5,1.777777778,72,1,Omnidia,1,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0
Achnanthes semiaperta,0,0,15,3.5,1.447619048,76,1,Omnidia,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0
Achnanthes subatomoides,0,0,10.5,5.5,2.043290043,118,2,Omnidia,1,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0
Achnanthes suchlandtii,0,0,15.5,2.75,1.5,50.1909375,1,ellcyl,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
Achnanthes ventralis,0,0,11.5,4.5,2,81.2475,1,ellcyl,1,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0
Achnathes acares,0,0,8,4,1.2,30,1,ellcyl,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0
Amphipleura kriegerana,0,0,110,8,5,3454,5,,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0
Amphora fogediana,0,0,50,24,24,20096,5,sphe/3,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
