lake,DOC_96,DOC_13,DOC_decline_percent,a380_96,a380_star_96,a380_96_derived,a380_star_96_derived,a380_13_derived,a380_13,a380_star_13,date,PAR10,PAR1,k,chl,par1_96,par1_96_star,par1_96_star_derived_from_13,par1_13,par1_13_star,par_calc_doc_96,par_calc_doc_13,par_doc96,par_doc13,par10_96,par10_13,diff_par
SS57,12,7.5,-35,NA,NA,0.672,0.056,NA,0.945,0.126,2013-07-27,NA,10.6,NA,0.65,8.518448661831245,17.5,13.3,7.586644706717937,14.9,19.32956599856636,18.6198605184053,10.192468502330476,10.814283303822585,6.65,7.45,10.74
SS85,59,40,-32,3.69,0.09,3.658,0.062,3.6,5.28,0.132,2013-07-20,NA,8.4,NA,0.785,-3.2323697324064513,11.7,7.7,-4.448052007513068,9,11.446836667333688,10.859963102748097,8.085417961712732,8.599612482207263,3.85,4.5,14.44
SS8,53,37,-30,9.05,0.177,8.162,0.154,6.549,8.288,0.224,2013-07-21,NA,5.55,NA,1.5,-7.2367479271339885,7.3,5.3,-6.665599652236531,6.5,6.9561077105911355,6.41345296922021,8.227303798370542,8.702755601571692,2.65,3.25,18.46
SS1381,48,28,-42,NA,NA,1.584,0.033,NA,2.884,0.103,2013-07-21,NA,8.15,NA,0.5333333335,1.520230758220816,15.7,9.7,-0.6378510065223333,11.5,15.625482879519922,14.811598163413564,8.358401062568861,9.071493433038206,4.85,5.75,15.65
SS2,41,28,-32,5.1,0.13,6.273,0.153,3.64,6.244,0.223,2013-07-19,NA,5.13,NA,1.1,-5.394356792692193,8.1,6.2,-4.678962671270929,7.5,9.023689734787604,8.447824724428656,8.566944155750202,9.071493433038206,3.1,3.75,17.33
SS1341,37,17,-54,NA,NA,2.294,0.062,NA,2.244,0.132,2013-07-30,NA,9.7,NA,0.65,0.0544515838463937,13.2,9.3,1.5791745051225092,11.9,16.117606679113823,14.94327278054593,8.702755601571692,9.731658745813627,4.65,5.95,21.85
SS10,6,4,-33,0.91,0.152,0.9,0.15,0.60872869,0.88,0.22,2013-07-29,NA,9.85,NA,0.7350000000000001,8.246298387633479,14.7,12.7,9.098691795733536,14,18.352175797480697,17.73992348423737,11.109502222211283,11.645932560238386,6.35,7,9.29
SS15,7,6,-14,2.32,0.331,2.24,0.32,1.986487314,2.34,0.39,2013-07-29,NA,5.6,NA,1.53,3.1965678969975277,10.2,9.2,3.247444711827943,9.7,11.02848612860028,10.79571860206112,10.905560872799821,11.109502222211283,4.6,4.85,5.15
SS16,10,11,10,4.96,0.496,5.08,0.508,5.456350428,6.358,0.578,2013-07-17,NA,4.1,NA,3.5650000000000004,-1.7336533601693986,6.6,5.9,-3.080368645887906,5.6,3.5802508844308125,3.724169255935344,10.433679921968878,10.307584554087756,2.95,2.8,-5.36
SS21,8,5,-38,1.57,0.196,1.848,0.231,0.981763888,1.505,0.301,2013-07-30,NA,10.75,NA,0.9335,3.960981747718536,11.5,10.1,5.8868747450681695,11.7,15.08587614883677,14.376170668675709,10.728898840357578,11.350713641849685,5.05,5.85,13.68
SS32,8,5,-38,NA,NA,4.192,0.524,NA,2.97,0.594,2013-07-29,NA,7.6,NA,1.9249999999999998,-0.3240856536096137,7.2,6.5,2.3305949589507744,8.1,9.248976944020066,8.539271463859006,10.728898840357578,11.350713641849685,3.25,4.05,19.75
SS86,31,13,-58,NA,NA,0.868,0.028,NA,1.274,0.098,2013-07-29,NA,8.1,NA,1.24,5.459488932417429,18,11.4,5.026949877086665,14.3,17.30258896780647,15.99034181880082,8.936834928466151,10.086572000078387,5.7,7.15,20.28
SS12,7,7,0,3.32,0.474,3.29,0.47,3.316012236,3.78,0.54,2013-07-29,NA,7.9,NA,2.065,1.185479652978234,8.2,7.5,0.45914290807891955,7.5,7.4858864322591465,7.4858864322591465,10.905560872799821,10.905560872799821,3.75,3.75,0
